Species,SW_HW
010,SW
012,SW
015,SW
016,SW
043,SW
057,SW
068,SW
070,HW
071,HW
081,SW
090,SW
091,SW
094,SW
095,SW
096,SW
097,SW
100,SW
105,SW
117,SW
122,SW
123,SW
125,SW
126,SW
129,SW
130,SW
132,SW
136,SW
202,SW
221,HW
241,SW
260,SW
261,SW
263,SW
299,SW
310,HW
313,HW
314,HW
315,HW
316,HW
317,HW
318,HW
319,HW
320,HW
330,HW
341,HW
345,HW
351,HW
355,HW
356,HW
357,HW
367,HW
370,HW
371,HW
372,HW
373,HW
375,HW
379,HW
391,HW
400,HW
402,HW
403,HW
405,HW
407,HW
409,HW
421,HW
450,HW
452,HW
460,HW
462,HW
491,HW
500,HW
531,HW
540,HW
541,HW
543,HW
544,HW
552,HW
591,SW
601,HW
602,HW
611,HW
621,HW
651,HW
655,HW
660,HW
663,HW
680,HW
681,HW
682,HW
693,HW
701,HW
731,HW
740,HW
741,HW
742,HW
743,HW
744,HW
746,HW
760,HW
761,HW
762,HW
763,HW
764,HW
766,HW
771,HW
800,HW
802,HW
804,HW
806,HW
809,HW
816,HW
823,HW
825,HW
826,HW
830,HW
832,HW
833,HW
835,HW
837,HW
901,HW
920,HW
921,HW
922,HW
923,HW
926,HW
927,HW
929,HW
931,HW
934,HW
935,HW
936,HW
937,HW
950,HW
951,HW
970,HW
972,HW
974,HW
975,HW
977,HW
998,HW
999,HW
