"","year","SWSL_inuse","SWPW_inuse","HWSL_inuse","HWPW_inuse","SWSL_Landfill","SWPW_Landfill","HWSL_Landfill","HWPW_Landfill"
"1",0,0,0,0,0,0,0,0,0
"2",1,0.569,0.513,0.614,0.65,0,0,0,0
"3",2,0.542,0.436,0.572,0.59,0.014,0.025,0.025,0.021
"4",3,0.517,0.372,0.534,0.539,0.027,0.046,0.048,0.039
"5",4,0.495,0.317,0.5,0.496,0.039,0.063,0.067,0.054
"6",5,0.474,0.271,0.469,0.459,0.05,0.077,0.085,0.067
"7",6,0.455,0.232,0.44,0.426,0.06,0.088,0.102,0.078
"8",7,0.438,0.197,0.415,0.398,0.069,0.098,0.116,0.087
"9",8,0.422,0.167,0.391,0.372,0.078,0.106,0.129,0.095
"10",9,0.406,0.139,0.369,0.349,0.085,0.113,0.141,0.102
"11",10,0.392,0.114,0.349,0.327,0.093,0.118,0.152,0.108
"12",11,0.379,0.093,0.331,0.308,0.099,0.123,0.162,0.114
"13",12,0.366,0.076,0.314,0.292,0.106,0.126,0.171,0.118
"14",13,0.355,0.062,0.299,0.279,0.111,0.128,0.179,0.121
"15",14,0.345,0.052,0.285,0.269,0.116,0.128,0.186,0.123
"16",15,0.335,0.044,0.272,0.26,0.121,0.128,0.192,0.125
"17",16,0.326,0.037,0.26,0.252,0.126,0.128,0.198,0.127
"18",17,0.318,0.032,0.249,0.246,0.13,0.127,0.204,0.128
"19",18,0.31,0.029,0.239,0.24,0.134,0.126,0.208,0.128
"20",19,0.302,0.026,0.229,0.235,0.137,0.125,0.213,0.129
"21",20,0.295,0.023,0.221,0.231,0.141,0.123,0.217,0.13
"22",21,0.288,0.021,0.212,0.226,0.144,0.122,0.221,0.13
"23",22,0.282,0.019,0.205,0.223,0.147,0.12,0.224,0.13
"24",23,0.276,0.018,0.197,0.219,0.15,0.119,0.227,0.13
"25",24,0.27,0.017,0.19,0.216,0.153,0.117,0.23,0.131
"26",25,0.264,0.016,0.184,0.213,0.155,0.116,0.233,0.131
"27",26,0.259,0.016,0.178,0.211,0.158,0.114,0.235,0.131
"28",27,0.253,0.015,0.172,0.208,0.16,0.113,0.238,0.131
"29",28,0.248,0.015,0.167,0.205,0.162,0.111,0.24,0.131
"30",29,0.243,0.014,0.161,0.203,0.164,0.11,0.242,0.131
"31",30,0.239,0.014,0.157,0.2,0.166,0.108,0.244,0.132
"32",31,0.234,0.014,0.152,0.198,0.168,0.107,0.245,0.132
"33",32,0.23,0.014,0.147,0.196,0.17,0.106,0.247,0.132
"34",33,0.226,0.013,0.143,0.194,0.172,0.105,0.249,0.132
"35",34,0.222,0.013,0.139,0.191,0.173,0.104,0.25,0.132
"36",35,0.218,0.013,0.135,0.189,0.175,0.103,0.251,0.133
"37",36,0.214,0.013,0.131,0.187,0.176,0.102,0.253,0.133
"38",37,0.21,0.012,0.128,0.185,0.178,0.101,0.254,0.133
"39",38,0.207,0.012,0.124,0.183,0.179,0.1,0.255,0.133
"40",39,0.204,0.012,0.121,0.181,0.181,0.099,0.256,0.134
"41",40,0.2,0.012,0.118,0.179,0.182,0.098,0.257,0.134
"42",41,0.197,0.012,0.115,0.178,0.183,0.098,0.258,0.134
"43",42,0.194,0.011,0.112,0.176,0.184,0.097,0.259,0.135
"44",43,0.191,0.011,0.109,0.174,0.186,0.096,0.26,0.135
"45",44,0.188,0.011,0.107,0.172,0.187,0.095,0.26,0.135
"46",45,0.185,0.011,0.104,0.17,0.188,0.095,0.261,0.135
